dataset_name,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
ellipsoid-50d40c-1,6,7,3,8,4,5,2,1
ellipsoid-50d40c-2,"5,5",7,4,8,3,"5,5",2,1
ellipsoid-50d40c-3,5,7,3,8,4,6,2,1
ellipsoid-50d40c-4,5,8,3,7,4,6,1,2
ellipsoid-50d40c-5,7,8,"3,5",5,"3,5",6,1,2
ellipsoid-50d40c-6,5,8,3,7,4,6,1,2
ellipsoid-50d40c-7,5,8,3,7,4,6,1,2
ellipsoid-50d40c-8,5,8,4,7,3,6,1,2
ellipsoid-50d40c-9,"6,5","6,5","3,5",8,"3,5",5,1,2
ellipsoid-50d4c-10,2,8,3,6,5,7,1,4
ellipsoid-50d4c-1,2,6,3,"7,5",5,"7,5",1,4
ellipsoid-50d4c-2,4,8,2,6,3,7,1,5
ellipsoid-50d4c-3,2,5,3,6,7,8,1,4
ellipsoid-50d4c-4,4,6,2,7,3,8,1,5
ellipsoid-50d4c-5,2,6,3,8,5,7,1,4
ellipsoid-50d4c-6,2,6,2,5,8,7,2,4
ellipsoid-50d4c-7,3,6,2,5,8,7,1,4
ellipsoid-50d4c-8,3,7,1,5,6,8,2,4
ellipsoid-50d4c-9,2,8,5,6,3,7,1,4
epileptic,2,8,"5,5",7,4,"5,5",1,3
fashion_mnist,"2,5",8,"2,5",7,"4,5",6,1,"4,5"
fmd,5,5,3,8,7,5,1,2
forestfires,3,8,"4,5",6,"4,5",7,"1,5","1,5"
fri_c0_100_10,2,7,5,8,3,6,1,4
fri_c0_100_25,3,7,5,8,2,6,1,4
fri_c0_100_50,3,7,6,8,3,3,1,5
fri_c0_250_10,3,7,6,8,2,5,1,4
fri_c0_250_25,4,6,7,8,2,5,1,3
fri_c0_250_50,2,6,7,8,4,3,1,5
fri_c0_500_10,"3,5",7,6,5,2,8,1,"3,5"
fri_c0_500_25,3,"5,5",7,8,2,"5,5",1,4
fri_c0_500_50,2,7,6,8,3,5,1,4
fri_c1_100_10,2,7,4,8,4,6,1,4
fri_c1_100_25,3,6,7,8,2,5,1,4
fri_c1_100_50,2,6,7,8,5,"3,5",1,"3,5"
fri_c1_250_10,2,7,"5,5",8,4,"5,5",1,3
fri_c1_250_25,4,"6,5",5,8,2,"6,5",1,3
fri_c1_250_50,2,5,7,8,3,6,1,4
fri_c1_500_10,"6,5","4,5","4,5",8,"1,5","6,5","1,5",3
fri_c1_500_25,5,7,6,8,2,4,1,3
fri_c1_500_50,2,7,"5,5",8,3,"5,5",1,4
fri_c2_100_10,3,7,6,8,2,5,1,4
fri_c2_100_25,3,6,7,8,2,5,1,4
fri_c2_100_50,3,7,6,8,2,"4,5",1,"4,5"
fri_c2_250_10,3,5,8,6,1,7,2,4
fri_c2_250_25,2,7,6,8,3,5,1,4
fri_c2_250_50,2,6,8,7,3,"4,5",1,"4,5"
fri_c2_500_10,5,8,4,7,2,6,1,3
fri_c2_500_25,5,"6,5","3,5",8,1,"6,5",2,"3,5"
fri_c2_500_50,2,6,7,8,3,5,1,4
fri_c3_100_10,2,7,4,8,3,6,1,5
fri_c3_100_25,3,4,7,8,2,6,1,5
fri_c3_100_50,3,6,7,8,4,2,1,5
fri_c3_250_10,3,5,6,8,2,7,1,4
fri_c3_250_25,3,7,6,8,2,5,1,4
fri_c3_250_50,2,3,7,8,5,6,1,4
fri_c3_500_10,"2,5",6,"2,5",8,5,7,1,4
fri_c3_500_25,3,5,7,8,1,6,2,4
fri_c3_500_50,2,7,"4,5",8,"4,5",6,1,3
fri_c4_100_100,2,"4,5",7,8,3,6,1,"4,5"
fri_c4_100_10,6,7,"4,5",8,2,"4,5",1,3
fri_c4_100_25,"2,5",7,6,8,"2,5",5,1,4
fri_c4_100_50,3,"4,5",8,7,2,6,1,"4,5"
fri_c4_250_100,2,5,7,8,3,6,1,4
fri_c4_250_10,"4,5",8,"4,5","6,5",2,"6,5",1,3
fri_c4_250_25,3,"6,5","6,5",8,"1,5",5,"1,5",4
fri_c4_250_50,2,5,7,8,3,6,1,4
fri_c4_500_100,2,"3,5",7,8,5,6,1,"3,5"
fri_c4_500_10,"5,5",8,4,7,2,"5,5",1,3
fri_c4_500_25,4,"6,5",5,8,1,"6,5",2,3
fri_c4_500_50,"2,5",7,5,8,"2,5",6,1,4
g2-1024-100,"4,5","6,5",3,8,"6,5","4,5",1,2
g2-1024-20,2,4,7,5,3,8,1,6
g2-1024-30,2,4,"6,5",8,3,"6,5",1,5
g2-1024-40,5,4,7,7,2,7,1,3
g2-1024-50,2,3,5,8,6,7,1,4
g2-1024-60,2,3,6,"7,5","4,5","7,5",1,"4,5"
g2-1024-70,6,"4,5","4,5",8,3,7,1,2
g2-1024-80,"4,5","4,5",8,7,3,6,1,2
g2-1024-90,"4,5",3,8,"6,5","4,5","6,5",1,2
g2-128-100,2,"4,5",3,"6,5",8,"4,5",1,"6,5"
g2-128-10,2,6,5,8,"3,5",7,1,"3,5"
g2-128-20,2,6,5,"7,5",3,"7,5",1,4
g2-128-30,2,7,"4,5",8,3,"4,5",1,6
g2-128-40,2,"6,5",4,8,3,"6,5",1,5
g2-128-50,"2,5","7,5",4,"7,5","5,5","5,5",1,"2,5"
g2-128-60,2,3,"4,5",7,6,8,1,"4,5"
g2-128-70,2,"5,5",3,8,"5,5",7,1,4
g2-128-80,2,"3,5",8,6,5,7,1,"3,5"
g2-128-90,7,6,2,"4,5",8,"4,5",1,3
g2-16-100,4,7,5,3,6,8,"1,5","1,5"
g2-16-10,3,"4,5","4,5",7,6,8,"1,5","1,5"
g2-16-20,3,7,4,"5,5","5,5",8,1,2
g2-16-30,3,5,4,7,6,8,1,2
g2-16-40,"3,5",7,"3,5",5,6,8,"1,5","1,5"
g2-16-50,"4,5",6,"4,5",3,7,8,2,1
g2-16-60,"7,5",6,3,4,"7,5",5,2,1
g2-16-70,5,4,8,3,6,7,2,1
g2-16-80,"5,5",7,3,4,"5,5",8,2,1
g2-16-90,6,3,5,7,4,8,2,1
g2-256-100,8,4,2,7,6,3,1,5
g2-256-10,2,5,6,8,3,7,1,4
g2-256-20,2,6,4,8,3,7,1,5
g2-256-30,"2,5",7,4,8,"2,5",5,1,6
g2-256-40,2,"4,5","4,5",8,3,7,1,6
g2-256-50,3,2,"5,5",8,4,7,1,"5,5"
g2-256-60,2,5,"3,5",7,"3,5",8,1,6
g2-256-70,2,3,8,7,"4,5","4,5",1,6
g2-256-80,2,7,3,8,5,6,1,4
g2-256-90,2,7,"4,5",8,"4,5","4,5",1,"4,5"
g2-32-100,5,4,3,6,7,8,2,1
g2-32-10,4,"6,5","2,5","6,5",5,8,1,"2,5"
g2-32-20,2,6,3,7,5,8,1,4
g2-32-30,2,7,4,6,5,8,1,3
g2-32-40,2,7,4,6,5,8,1,3
g2-32-50,"3,5",6,"3,5",5,7,8,1,2
g2-32-60,5,4,6,3,7,8,1,2
g2-32-70,6,2,7,3,5,8,1,4
g2-32-80,6,3,5,4,7,8,"1,5","1,5"
g2-32-90,7,"3,5","3,5",5,6,8,"1,5","1,5"
g2-512-100,4,2,"5,5",8,7,"5,5",1,3
g2-512-10,2,6,4,8,3,7,1,5
g2-512-20,5,4,7,8,3,6,1,2
g2-512-30,"3,5",7,5,8,"3,5",6,1,2
g2-512-40,3,4,6,8,2,7,1,5
g2-512-50,4,2,7,8,"5,5","5,5",1,3
g2-512-60,2,3,5,8,6,7,1,4
g2-512-70,3,"6,5",5,"6,5",2,8,1,4
g2-512-80,2,3,8,6,5,7,1,4
g2-512-90,2,5,8,6,"3,5",7,1,"3,5"
g2-64-100,7,3,2,"5,5",8,"5,5",1,4
g2-64-10,2,"6,5","4,5","6,5",3,8,1,"4,5"
g2-64-20,2,6,3,8,4,7,1,5
g2-64-30,2,6,4,7,4,8,1,4
g2-64-40,2,6,5,7,"3,5",8,1,"3,5"
g2-64-50,2,6,3,7,5,8,1,4
g2-64-60,3,"6,5",2,"4,5",8,"6,5",1,"4,5"
g2-64-70,3,5,2,"6,5",8,"6,5",1,4
g2-64-80,5,4,3,8,"6,5","6,5",1,2
g2-64-90,4,5,2,6,8,7,1,3
gaussian-10d-10c-no0,4,8,5,7,3,6,1,2
gaussian-10d-10c-no1,"3,5",8,"3,5",7,5,6,1,2
gaussian-10d-10c-no2,5,8,4,7,3,6,1,2
gaussian-10d-10c-no3,"3,5",8,5,7,"3,5",6,1,2
gaussian-10d-10c-no4,3,7,5,8,4,6,1,2
gaussian-10d-10c-no5,3,8,4,7,6,5,1,2
gaussian-10d-10c-no6,5,8,3,7,4,6,1,2
gaussian-10d-10c-no7,3,8,4,7,5,6,1,2
gaussian-10d-10c-no8,"3,5",8,"5,5",7,"3,5","5,5",1,2
gaussian-10d-10c-no9,3,8,5,7,4,6,1,2
gaussian-10d-20c-no0,5,8,4,7,3,6,"1,5","1,5"
gaussian-10d-20c-no1,6,7,3,8,4,5,"1,5","1,5"
gaussian-10d-20c-no2,6,8,4,7,3,5,1,2
gaussian-10d-20c-no3,6,8,5,7,3,4,2,1
gaussian-10d-20c-no4,5,8,4,7,3,6,1,2
gaussian-10d-20c-no5,5,8,4,7,3,6,"1,5","1,5"
gaussian-10d-20c-no6,6,8,"3,5",7,"3,5",5,1,2
gaussian-10d-20c-no7,5,8,4,7,2,6,1,3
gaussian-10d-20c-no8,6,7,3,8,4,5,1,2
gaussian-10d-20c-no9,7,8,3,6,4,5,"1,5","1,5"
gaussian-10d-40c-no0,6,8,"4,5",7,"4,5",3,1,2
gaussian-10d-40c-no1,7,8,4,6,3,5,2,1
gaussian-10d-40c-no2,7,8,4,6,3,5,2,1
gaussian-10d-40c-no3,6,8,4,7,3,5,2,1
gaussian-10d-40c-no4,7,8,4,6,3,5,2,1
gaussian-10d-40c-no5,7,8,4,6,3,5,2,1
gaussian-10d-40c-no6,6,8,4,7,3,5,1,2
gaussian-10d-40c-no7,6,8,4,7,3,5,2,1
gaussian-10d-40c-no8,6,8,4,7,3,5,2,1
gaussian-10d-40c-no9,6,8,"3,5",7,"3,5",5,2,1
gaussian-10d-4c-no0,4,6,3,8,7,5,1,2
gaussian-10d-4c-no1,4,8,3,7,5,6,1,2
gaussian-10d-4c-no2,3,8,4,7,5,6,1,2
gaussian-10d-4c-no3,5,8,3,7,4,6,1,2
gaussian-10d-4c-no4,4,8,3,"5,5",7,"5,5",1,2
gaussian-10d-4c-no5,4,8,3,7,6,5,1,2
gaussian-10d-4c-no6,3,8,4,7,5,6,1,2
gaussian-10d-4c-no7,3,6,4,7,5,8,1,2
gaussian-10d-4c-no8,"3,5",8,"3,5",6,5,7,1,2
gaussian-10d-4c-no9,3,7,5,7,4,7,1,2
german,6,8,"4,5",7,2,3,1,"4,5"
glass,"1,5",8,4,7,5,6,"1,5",3
har,"2,5",8,4,7,"5,5","5,5",1,"2,5"
hatespeech,3,8,6,7,5,4,2,1
heart-h,4,7,3,6,1,8,2,5
heart-long-beach,3,"6,5","6,5",8,3,3,1,5
heart-switzerland,3,"7,5",6,"7,5",1,5,2,4
heart,"3,5",2,7,8,5,6,1,"3,5"
hepatitis,3,7,2,8,5,6,1,4
hill-valley,1,2,"7,5",3,4,"7,5",5,6
hiva,3,8,5,7,4,6,1,2
horse-colic,2,6,7,8,"4,5","4,5",1,3
house-votes-84,3,6,4,"7,5","7,5",5,1,2
imdb,2,7,"5,5",8,"5,5",4,1,3
ionosphere,3,7,6,8,5,2,1,4
isolet,5,8,3,7,6,4,1,2
kc1-binary,2,8,"4,5",7,3,6,1,"4,5"
kc1-top5,2,6,4,7,3,8,1,5
kc3,"2,5",8,5,7,4,6,1,"2,5"
kdd_synthetic_control,4,6,3,8,7,5,1,2
kr-vs-kp,"6,5",8,3,"6,5",2,5,1,4
leaf,2,7,"4,5",8,"4,5",6,1,3
letter-recognition,"3,5",8,2,7,5,6,1,"3,5"
liver,"3,5",8,"3,5",7,2,6,1,5
lp1_transform,1,4,5,8,2,7,3,6
lp2_transform,3,4,8,5,2,7,1,6
lp3_transform,3,5,6,8,2,4,1,7
lp4_transform,1,7,3,8,"5,5",4,2,"5,5"
lp5_transform,"1,5",8,5,6,3,7,"1,5",4
lungcancer_GSE31210,4,8,6,7,2,5,1,3
lymph2,3,6,7,8,2,5,1,4
madelon,"2,5",4,"2,5","6,5",8,"6,5",1,5
mfeatkarhunen,6,8,5,7,3,4,1,2
movement_libras,"5,5",7,"5,5",8,"2,5",4,1,"2,5"
mw1,"1,5",8,5,7,3,6,"1,5",4
onehr,4,5,2,6,7,8,1,3
optdigits,4,8,5,7,3,6,1,2
orl,2,1,"5,5","5,5",4,3,8,7
page-blocks,"3,5",5,1,6,8,7,2,"3,5"
parkinsons_updrs,5,"6,5",4,"6,5",3,8,"1,5","1,5"
planning-relax,"1,5",6,8,7,4,5,"1,5",3
plasma_retinol,"3,5","3,5",8,5,1,7,2,6
plrx,3,5,7,8,2,6,1,4
promoters,3,7,6,8,4,5,1,2
pwLinear,4,7,"5,5",8,2,"5,5",1,3
sat,"2,5",7,"2,5",6,4,8,1,5
secom,5,"6,5",1,8,"6,5",4,2,3
segment,4,5,2,"6,5",3,8,1,"6,5"
segmentation,"2,5",7,"2,5","5,5",4,8,1,"5,5"
seismic,"1,5",6,"3,5",5,7,8,"1,5","3,5"
sentiment,4,6,5,7,8,3,2,1
smartphone_brha,"1,5",6,4,8,3,7,"1,5",5
sms,3,8,4,6,7,2,1,5
solar-flare_1,6,5,2,8,7,4,1,3
sonar,"4,5",7,"4,5",8,2,"4,5",1,"4,5"
soybean-small,7,"3,5",6,8,5,"3,5",1,2
spambase,6,7,2,8,5,4,1,3
splice,1,"7,5","5,5","7,5",4,"5,5",2,3
svhn,4,5,2,6,3,"7,5",1,"7,5"
tecator,"2,5","2,5","6,5",8,"6,5",5,1,4
thoracic-surgery1,2,5,7,4,8,6,1,3
thoracic-surgery2,"5,5",4,8,3,"5,5",7,2,1
triazines,2,7,3,8,"4,5","4,5",1,6
vehicle,2,8,5,7,"3,5",6,1,"3,5"
waveform-noise,6,"3,5",5,"3,5",7,8,1,2
waveform,5,2,6,3,7,8,1,4
wdbc,1,7,3,6,5,8,2,4
winequality,4,7,"2,5",6,8,5,1,"2,5"
wisc,3,7,5,8,4,6,1,2
wpbc,3,8,4,7,"1,5",6,"1,5",5
yeast,3,7,4,5,6,8,1,2
zcell237,3,8,"5,5","5,5",7,4,2,1
zoo,"3,5",7,6,8,2,5,1,"3,5"
,"3,735","6,545","4,359","6,888","3,914","6,255","1,285","3,019"
,3,7,5,8,4,6,1,2
